MITF	ANGPTL4
TYR	FSTL3
PMEL	GPC1
PLP1	TMSB10
GPR143	SH3BGRL3
MLANA	PLAUR
STX7	NGFR
IRF4	SEC14L2
ERBB3	FOSL1
CDH1	SERPINE1
GPNMB	IGFBP3
IGSF11	TNFRSF12A
SLC24A5	GBE1
SLC45A2	AXL
RAP2B	PHLDA2
ASAH1	MAP1B
MYO10	GEM
GRN	SLC22A4
DOCK10	TYMP
ACSL3	TREM1
SORT1	RIN1
QPCT	S100A4
S100B	COL6A2
MYC	FAM46A
LZTS1	CITED1
GYG2	S100A10
SDCBP	UCN2
LOXL4	SPHK1
ETV5	TRIML2
C1orf85	S100A6
HMCN1	TMEM45A
OSTM1	CDKN1A
ALDH7A1	UBE2C
FOSB	ERO1L
RAB38	SLC16A6
ELOVL2	CHI3L1
MLPH	FN1
PLK2	S100A16
CHL1	CRIP1
RDH11	SLC25A37
LINC00473	LCN2
RELL1	ENO2
C21orf91	PFKFB4
SCAMP3	SLC16A3
SGK3	DBNDD2
ABCB5	LOXL2
SLC7A5	CFB
SIRPA	CADM1
WDR91	LTBP3
PIGS	CD109
CYP27A1	AIM2
TM7SF3	TCN1
PTPRZ1	STRA6
CNDP2	C9orf89
CTSK	DDR1
BNC2	TBC1D8
TOB1	METTL7B
CELF2	GADD45A
ROPN1	UPP1
TMEM98	SPATA13
CTSA	GLRX
LIMA1	PPFIBP1
CD99	PMAIP1
IGSF8	COL6A1
FDFT1	JMJD6
CPNE3	CIB1
SLC35B4	HPCAL1
EIF3E	MT2A
TNFRSF14	ZCCHC6
VAT1	IL8
HPS5	TRIM47
CDK2	SESN2
CAPN3	PVRL2
SUSD5	DRAP1
ADSL	MTHFD2
PIGY	SDC4
PON2	NNMT
SLC19A1	PPL
KLF6	TIMP1
MAGED1	RHOC
ERGIC3	GNB2
PIR	PDXK
SLC25A5	CTNNA1
JUN	CD52
ARPC1B	SLC2A1
SLC19A2	BACH1
AKR7A2	ARHGEF2
HPGD	UBE2J1
TBC1D7	CD82
TFAP2A	ZYX
PTPLAD1	P4HA2
SNCA	PEA15
GNPTAB	GLRX2
DNAJA4	HAPLN3
APOE	RAB36
MTMR2	SOD2
ATP6V1B2	ESYT2
C16orf62	IL18BP
EXOSC4	FGFRL1
STAM	PLEC

